W,Название (рус.),Title (en),Titre (fr),Год,"Размер, см",Статус,Где хранится,Location,Страна,Country,Последняя известная продажа,Тип изображения,Изображение на сайте,Источник изображения,Wikidata,Ссылка на карточку
286,Сад в Аржантёе,The Garden at Argenteuil,Le Jardin de l’artiste,1873,61 × 82.5,музей,"Национальная галерея искусства, Вашингтон","National Gallery of Art, Washington D.C.",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w286.webp,https://www.nga.gov/collection/art-object-page.72138.html,https://www.wikidata.org/wiki/Q20188762,https://monet.1vasiliadi.com/#w286
287,Камилла Моне у окна. Аржантёй,"Camille Monet at the Window, Argenteuil",Camille Monet à la fenêtre,1873,60 × 49.5,музей,"Музей изящных искусств Вирджинии, Ричмонд","Virginia Museum of Fine Arts, Richmond",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w287.webp,https://commons.wikimedia.org/wiki/File:Monet_-_camille-monet-at-the-window-argentuile.jpg,https://www.wikidata.org/wiki/Q85224933,https://monet.1vasiliadi.com/#w287
288,Укромная тропинка,The Sheltered Path,Chemin Creux,1873,54 × 65,музей,Художественный музей Филадельфии,Philadelphia Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w288.webp,https://commons.wikimedia.org/wiki/File:Monet_-_the-sheltered-path.jpg,https://www.wikidata.org/wiki/Q20809482,https://monet.1vasiliadi.com/#w288
289,Пруд с утками осенью,The Pond with Ducks in Autumn,"La Mare aux canards, l'automne",1873,54 × 65,частная коллекция,,,Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w289.webp,https://commons.wikimedia.org/wiki/File:Monet_w289.jpg,,https://monet.1vasiliadi.com/#w289
290,Осень в Аржантёе,Autumn Effect at Argenteuil,Effet d'automne à Argenteuil,1873,56 × 75,музей,"Институт искусств Курто, Лондон","Courtauld Institute of Art, London",Великобритания,United Kingdom,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w290.webp,https://commons.wikimedia.org/wiki/File:Monet%2C_Autumn_Effect_at_Argenteuil%2C_Courtauld_Gallery.jpg,https://www.wikidata.org/wiki/Q50435471,https://monet.1vasiliadi.com/#w290
291,Осень на Сене в Аржантёе,Autumn on the Seine at Argenteuil,"Automne sur la Seine, Argenteuil",1873,54 × 73,музей,"Художественный музей Хай, Атланта","High Museum of Art, Atlanta",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w291.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Automne_sur_la_Seine_Argenteuil_(1873).jpg,https://www.wikidata.org/wiki/Q50766796,https://monet.1vasiliadi.com/#w291
292,Карнавал на бульваре Капуцинок,Carnaval Boulevard des Capucines,Le Boulevard des Capucines,1873,61 × 80,музей,"ГМИИ им. Пушкина, Москва","Pushkin Museum, Moscow",Россия,Russia,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w292.webp,https://commons.wikimedia.org/wiki/File:Interior_of_Gallery_of_19th_and_20th_Century_Art_(Pushkin_museum)_-_008.jpg,https://www.wikidata.org/wiki/Q2939683,https://monet.1vasiliadi.com/#w292
293,Бульвар Капуцинок,Boulevard des Capucines,,1873,80 × 60,музей,"Художественный музей Нельсона-Аткинса, Канзас-Сити","Nelson-Atkins Museum of Art, Kansas City",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w293.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Boulevard_des_Capucines_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q4949676,https://monet.1vasiliadi.com/#w293
294,Торговый бассейн. Гавр,"The Trade Basin, Le Havre",Le Bassin du commerce. Le Havre,1874,37 × 45,музей,"Музей современного искусства, Льеж","Musée d'Art Moderne, Liège",Бельгия,Belgium,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w294.webp,https://commons.wikimedia.org/wiki/File:HavreMonet.jpg,https://www.wikidata.org/wiki/Q90913879,https://monet.1vasiliadi.com/#w294
295,Большая набережная в Гавре,Embankment in Le Havre,Le Grand Quai au Havre,1874,61 × 81,музей,"Эрмитаж, Санкт-Петербург","Hermitage Museum, St Petersburg",Россия,Russia,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w295.webp,https://commons.wikimedia.org/wiki/File:'The_Grand_Quay_at_Havre'_by_Claude_Monet%2C_1874%2C_Hermitage.JPG,https://www.wikidata.org/wiki/Q27976551,https://monet.1vasiliadi.com/#w295
296,Лодки выходят из порта,Fishing Boats Leaving the Port of Le Havre,"Le Havre, bateaux de pêche sortant du port",1874,60 × 101,музей,Музей искусств округа Лос-Анджелес,Los Angeles County Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w296.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet%2C_Fishing_Boats_Leaving_the_Harbor%2C_Le_Havre.jpg,https://www.wikidata.org/wiki/Q2891152,https://monet.1vasiliadi.com/#w296
297,Старый аванпорт Гавра,Old Outer Port of Le Havre,Port du Havre,1874,60 × 102,музей,Художественный музей Филадельфии,Philadelphia Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w297.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet%2C_French_-_Port_of_Le_Havre_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q18683915,https://monet.1vasiliadi.com/#w297
297a,"Леон Моне, брат художника","Léon Monet, the Artist’s Brother",Portrait de Léon Monet,1874,64 × 54,частная коллекция,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w297a.webp,https://commons.wikimedia.org/wiki/File:Portrait_de_L%C3%A9on_Monet%2C_1874%2C_Claude_Monet.jpg,,https://monet.1vasiliadi.com/#w297a
298,Морской порт в Амстердаме,The Sea Port in Amsterdam,"Marine, le port d'Amsterdam",1874,60 × 81,музей,"Художественный музей «Вилла Асахи в Ямадзаки», Оямадзаки","Asahi Group Oyamazaki Villa Museum of Art, Ōyamazaki",Япония,Japan,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w298.webp,https://commons.wikimedia.org/wiki/File:Monet-ij.jpg,https://www.wikidata.org/wiki/Q95691932,https://monet.1vasiliadi.com/#w298
299,Море в Амстердаме,The Sea at Amsterdam,"Marine, Amsterdam",1874,50.5 × 75.5,частная коллекция,,,Япония,Japan,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w299.webp,https://commons.wikimedia.org/wiki/File:Monet_Het_IJ_the-sea-at-amsterdam.jpg,,https://monet.1vasiliadi.com/#w299
300,"Гелдерсекаде в Амстердаме, зима","Geldersekade of Amsterdam, Winter","Le Geldersekade à Amsterdam, l'hiver",1874,55 × 62,музей,"Музей Ботеро, Богота","Botero Museum, Bogotá",Колумбия,Colombia,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w300.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_El_Geldersekade_de_Amsterdam_en_invierno.jpg,https://www.wikidata.org/wiki/Q108333238,https://monet.1vasiliadi.com/#w300
301,Амстердам в снегу,Amsterdam in the Snow,Neige à Amsterdam,1874,56 × 73,музей,Музей коллекции Розенгарт,Rosengart Collection Museum,Швейцария,Switzerland,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w301.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Snow_in_Amsterdam_-_Rosengart_collection.jpg,https://www.wikidata.org/wiki/Q67959125,https://monet.1vasiliadi.com/#w301
302,Ветряная мельница на канале Онбекенде. Амстердам,"The Windmill on the Onbekende Canal, Amsterdam","Le Moulin de l'Onbekende Gracht, Amsterdam",1874,56 × 65,музей,"Музей изящных искусств, Хьюстон","Museum of Fine Arts, Houston",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w302.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_The_Windmill%2C_Amsterdam%2C_1871.jpg,https://www.wikidata.org/wiki/Q28039645,https://monet.1vasiliadi.com/#w302
303,Вид Амстердама,View of Amsterdam,Vue d'Amsterdam,1874,61 × 101.5,музей,"Собрание Рау для ЮНИСЕФ, Музей Арпа «Вокзал Роландсэк», Ремаген","Sammlung Rau fuer UNICEF, Arp Museum Bahnhof Rolandseck, Remagen",Германия,Germany,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w303.webp,https://commons.wikimedia.org/wiki/File:Monet-schreierstoren.jpg,https://www.wikidata.org/wiki/Q78833067,https://monet.1vasiliadi.com/#w303
304,Вид набережных Принс-Хендрикаде и Кромме-Ваал в Амстердаме,View of the Prins Hendrikkade and the Kromme Waal in Amsterdam,Vue d'Amsterdam,1874,50 × 68,музей,"Музей Ван Гога, Амстердам","Van Gogh Museum, Amsterdam",Нидерланды,Netherlands,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w304.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_View_of_the_Prins_Hendrikkade_and_the_Kromme_Waal_in_Amsterdam_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q28797628,https://monet.1vasiliadi.com/#w304
305,Биннен-Амстел. Амстердам,"The Binnen Amstel, Amsterdam","Le Binnen-Amstel, Amsterdam",1874,55 × 74,частная коллекция,,,,,2008,цветная фотография,https://monet.1vasiliadi.com/img/1600/w305.webp,https://commons.wikimedia.org/wiki/File:LE_BINNEN-AMSTEL%2C_AMSTERDAM_(1874)_Claude_Monet_(W_305).jpg,,https://monet.1vasiliadi.com/#w305
306,Мост. Амстердам,"The Bridge, Amsterdam",Amsterdam. Le pont,1874,53.5 × 63.5,музей,"Музей Шелберна, Шелберн","Shelburne Museum, Shelburne",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w306.webp,https://commons.wikimedia.org/wiki/File:Monet-montelbaanstoren.jpg,https://www.wikidata.org/wiki/Q95631052,https://monet.1vasiliadi.com/#w306
307,Вид башни Монтелбан. Амстердам,"View of the Montalban Tower, Amsterdam","Vue de la tour Montalban, Amsterdam",1874,60 × 81,частная коллекция,,,Швейцария,Switzerland,2024,скан из каталога,https://monet.1vasiliadi.com/img/1600/w307.webp,https://commons.wikimedia.org/wiki/File:Monet_w307_view_of_the_Montalban_Tower%2C_Amsterdam.jpg,,https://monet.1vasiliadi.com/#w307
308,Канал в Амстердаме,Canal in Amsterdam,Canal à Amsterdam,1874,55 × 65,частная коллекция,,,Япония,Japan,1998,цветная фотография,https://monet.1vasiliadi.com/img/1600/w308.webp,https://commons.wikimedia.org/wiki/File:Monet_canal-in-amsterdam.jpg,https://www.wikidata.org/wiki/Q66458983,https://monet.1vasiliadi.com/#w308
309,Зюйдеркерк. Амстердам,"The Zuiderkerk, Amsterdam","Le Zuiderkerk, Amsterdam",1874,54.5 × 65.5,музей,Художественный музей Филадельфии,Philadelphia Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w309.webp,https://commons.wikimedia.org/wiki/File:The_Zuiderkerk%2C_Amsterdam_by_Claude_Monet%2C_1874.jpg,https://www.wikidata.org/wiki/Q20809483,https://monet.1vasiliadi.com/#w309
310,Фруктовый сад,The Orchard,Le Verger,1874,59 × 80,частная коллекция,,,,,"Sotheby's, London, 1962",скан из каталога,https://monet.1vasiliadi.com/img/1600/w310.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_310.png,https://www.wikidata.org/wiki/Q115171000,https://monet.1vasiliadi.com/#w310
311,Мост в Аржантёе,The Railway Bridge at Argenteuil,Le Pont d'Argenteuil,1874,60 × 80,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w311.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_The_Argenteuil_Bridge_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q1212084,https://monet.1vasiliadi.com/#w311
312,Мост в Аржантёе,The Railway Bridge at Argenteuil,Le Pont d'Argenteuil,1874,60 × 80,музей,"Национальная галерея искусства, Вашингтон","National Gallery of Art, Washington D.C.",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w312.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_The_Bridge_at_Argenteuil_(1874)_-_NGA_1983.1.24.jpg,https://www.wikidata.org/wiki/Q20188770,https://monet.1vasiliadi.com/#w312
313,Мост через Сену в Аржантёе,The Road Bridge at Argenteuil,Le Pont sur la Seine à Argenteuil,1874,58 × 80,музей,"Новая пинакотека, Мюнхен","Neue Pinakothek, Munich",Германия,Germany,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w313.webp,https://commons.wikimedia.org/wiki/File:Batch_Mattes_20130310_NP_(7).JPG,https://www.wikidata.org/wiki/Q30093031,https://monet.1vasiliadi.com/#w313
314,Автомобильный мост в Аржантёе,The Road Bridge at Argenteuil,Le Pont routier d'Argenteuil,1874,50 × 65,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w314.webp,https://commons.wikimedia.org/wiki/File:Monet_w314.jpg,,https://monet.1vasiliadi.com/#w314
315,Мост в Аржантёе в пасмурную погоду,"The Bridge at Argenteuil, Grey Weather","Le Pont routier, Argenteuil",1874,54 × 73,частная коллекция,,,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w315.webp,https://commons.wikimedia.org/wiki/File:Monet_-_the-bridge-at-argenteuil-grey-weather.jpg,https://www.wikidata.org/wiki/Q112218689,https://monet.1vasiliadi.com/#w315
316,Мост в Аржантёе в пасмурный день,Bridge at Argenteuil on a Gray Day,"Le Pont d'Argenteuil, jour gris",1876,61 × 80.5,музей,"Национальная галерея искусства, Вашингтон","National Gallery of Art, Washington D.C.",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w316.webp,https://www.nga.gov/collection/art-object-page.52188.html,https://www.wikidata.org/wiki/Q20188810,https://monet.1vasiliadi.com/#w316
317,Берега Сены у моста в Аржантёе,The Banks of the Seine at the Argenteuil Bridge,Les Bords de la Seine au pont d'Argenteuil,1874,54 × 73,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w317.webp,https://commons.wikimedia.org/wiki/File:Monet_w317.jpg,,https://monet.1vasiliadi.com/#w317
318,Мост в Аржантёе,The Railway Bridge at Argenteuil,Le Pont du chemin de fer à Argenteuil,1874,54.5 × 73.5,музей,Художественный музей Филадельфии,Philadelphia Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w318.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_The_Railway_Bridge_at_Argenteuil_(Philadelphia).jpg,https://www.wikidata.org/wiki/Q20809480,https://monet.1vasiliadi.com/#w318
319,Железнодорожный мост в Аржантёе,The Railway Bridge at Argenteuil,Le Pont du chemin de fer à Argenteuil,1874,55 × 72,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w319.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_The_Railroad_bridge_in_Argenteuil_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q3795191,https://monet.1vasiliadi.com/#w319
320,Мост в Аржантёе,The Railway Bridge at Argenteuil,Le Pont du chemin de fer à Argenteuil,1874,14.5 × 23,музей,"Музей Мармоттан-Моне, Париж","Musée Marmottan Monet, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w320.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_The_Railway_Bridge_at_Argenteuil_(Mus%C3%A9e_d'Marmottan).jpg,https://www.wikidata.org/wiki/Q47615867,https://monet.1vasiliadi.com/#w320
321,Прогулка у железнодорожного моста. Аржантёй,"The Promenade near the Railroad Bridge, Argenteuil",Le Pont du chemin de fer à Argenteuil,1874,54.5 × 78,музей,Художественный музей Сент-Луиса,Saint Louis Art Museum,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w321.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_The_Promenade_with_the_Railroad_Bridge%2C_Argenteuil_-_45-1973_-_Saint_Louis_Art_Museum.jpg,https://www.wikidata.org/wiki/Q47616281,https://monet.1vasiliadi.com/#w321
322,Аржантёй,Argenteuil,,1874,42 × 70,музей,"Музей Артизон, Токио","Artizon Museum, Tokyo",Япония,Japan,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w322.webp,https://commons.wikimedia.org/wiki/File:Argenteuil_(1874)_de_Claude_Monet_(Artizon_Museum%2C_Tokyo).jpg,https://www.wikidata.org/wiki/Q124254550,https://monet.1vasiliadi.com/#w322
323,Лодка-мастерская,The Studio Boat,Le bateau-atelier,1874,50 × 64,музей,"Музей Крёллер-Мюллер, Оттерло","Kröller-Müller Museum, Otterlo",Нидерланды,Netherlands,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w323.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Le_bateau-atelier.jpg,https://www.wikidata.org/wiki/Q24018614,https://monet.1vasiliadi.com/#w323
324,Лодочники в Аржантёе,Boaters at Argenteuil,Les canotiers à Argenteuil,1874,60 × 81,частная коллекция,Собрание Нахмада,Nahmad Collection,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w324.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Les_canotiers_%C3%A0_Argenteuil_-_Nahmad_collection.jpg,https://www.wikidata.org/wiki/Q66483956,https://monet.1vasiliadi.com/#w324
325,Сена в Аржантёе,The Seine at Argenteuil,Le Bassin d'Argenteuil (1874),1874,54 × 73,музей,"Музей Школы дизайна Род-Айленда, Провиденс","Rhode Island School of Design Museum, Providence",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w325.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_The_Basin_at_Argenteuil_-_RISD_Museum.tif,https://www.wikidata.org/wiki/Q50771158,https://monet.1vasiliadi.com/#w325
326,Порт в Аржантёе,The Port at Argenteuil,Le bassin d'Argenteuil,1874,55 × 73,частная коллекция,,,США,United States,2021,цветная фотография,https://monet.1vasiliadi.com/img/1600/w326.webp,https://commons.wikimedia.org/wiki/File:Claude_monet_le_bassin_dargenteuil114147).jpg,https://www.wikidata.org/wiki/Q109550022,https://monet.1vasiliadi.com/#w326
327,Сена близ Аржантёя,The Seine near Argenteuil,La Seine près d'Argenteuil,1874,55 × 66,музей,"Художественный музей Берна, Берн","Kunstmuseum Bern, Bern",Швейцария,Switzerland,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w327.webp,https://commons.wikimedia.org/wiki/File:Monet_w327.jpg,https://www.wikidata.org/wiki/Q92787520,https://monet.1vasiliadi.com/#w327
328,Закат на Сене,Sunset on the Seine,Marine avec coucher du soleil,1874,49.5 × 65,музей,Художественный музей Филадельфии,Philadelphia Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w328.webp,https://commons.wikimedia.org/wiki/File:Marine_View_with_a_Sunset%2C_by_Claude_Monet.JPG,https://www.wikidata.org/wiki/Q20809473,https://monet.1vasiliadi.com/#w328
329,Берега реки в Аржантёе,River Banks at Argenteuil,"Bord de l'eau, Argenteuil",1874,55 × 65,уничтожена,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w329.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Bords_de_l'eau_(1874)_(W_329).png,,https://monet.1vasiliadi.com/#w329
330,Сена в Аржантёе,The Seine at Argenteuil,La Seine à Argenteuil,1874,54 × 65,частная коллекция,,,,,"Sotheby's, New York, 1988",скан из каталога,https://monet.1vasiliadi.com/img/1600/w330.webp,https://commons.wikimedia.org/wiki/File:Monet_w330.jpg,,https://monet.1vasiliadi.com/#w330
331,Парусная лодка в Аржантёе,Argenteuil Basin with a Single Sailboat,Le Bassin d'Argenteuil avec un Voilier,1874,55 × 65,музей,"Национальная галерея Ирландии, Дублин","National Gallery of Ireland, Dublin",Ирландия,Ireland,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w331.webp,https://commons.wikimedia.org/wiki/File:Monet-ArgenteuilBasinWithASingleSailboat.jpg,https://www.wikidata.org/wiki/Q19570879,https://monet.1vasiliadi.com/#w331
332,Берега Сены близ Аржантёя,The Banks of the Seine near Argenteuil,Les Bords de la Seine près d'Argenteuil,1874,54 × 73,частная коллекция,,,,,2016,скан из каталога,https://monet.1vasiliadi.com/img/1600/w332.webp,https://commons.wikimedia.org/wiki/File:Monet_w_332_the_banks_of_the_seine_ner_argenteuil.jpg,,https://monet.1vasiliadi.com/#w332
333,Берега Сены в Пти-Женвилье,The banks of the Seine at Petit-Gennevilliers,Les bords de la Seine au Petit-Gennevilliers,1874,54 × 73,частная коллекция,,,Франция,France,2017,цветная фотография,https://monet.1vasiliadi.com/img/1600/w333.webp,https://commons.wikimedia.org/wiki/File:Les_bords_de_la_Seine_au_Petit-Gennevilliers_by_Claude_Monet%2C_1874.jpg,https://www.wikidata.org/wiki/Q50772170,https://monet.1vasiliadi.com/#w333
334,"Бассейн, вид с моста. Аржантёй","The Pool seen from the Bridge, Argenteuil",Le Bassin d'Argenteuil vu depuis le pont routier,1874,62 × 81,музей,"Художественный музей префектуры Миэ, Цу","Mie Prefectural Art Museum, Tsu",Япония,Japan,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w334.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Le_Bassin_de_d'Argenteuil_vu_depuis_le_pont_routier.jpg,https://www.wikidata.org/wiki/Q73386712,https://monet.1vasiliadi.com/#w334
335,Порт в Аржантёе,The Port of Argenteuil,Le Bassin d'Argenteuil,1874,53 × 65,музей,"Художественный музей Индианского университета, Блумингтон","Indiana University Art Museum, Bloomington",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w335.webp,https://commons.wikimedia.org/wiki/File:Monet_-_The_Port_of_Argenteuil_(Le_bassin_de_Argenteuil)%2C_1874.jpg,https://www.wikidata.org/wiki/Q90922784,https://monet.1vasiliadi.com/#w335
336,Парусник в Пти-Женвилье,Sailboat at Le Petit-Gennevilliers,Voilier au Petit-Gennevilliers,1874,56 × 74,музей,"Фонд Люсиль Эллис Саймон, Санта-Моника","Lucille Ellis Simon Foundation, Santa Monica",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w336.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Voilier_au_Petit-Gennevilliers.jpg,https://www.wikidata.org/wiki/Q66821486,https://monet.1vasiliadi.com/#w336
337,В Пти-Женвилье,At Petit-Gennevilliers,Au Petit-Gennevilliers,1874,55 × 73,частная коллекция,,,США,United States,2016,цветная фотография,https://monet.1vasiliadi.com/img/1600/w337.webp,https://commons.wikimedia.org/wiki/File:'Au_Petit-Gennevilliers'_by_Claude_Monet%2C_1874.jpg,https://www.wikidata.org/wiki/Q50765310,https://monet.1vasiliadi.com/#w337
338,"В Пти-Женвилье, закат","At Le Petit-Gennevilliers, Sunset","Au Petit-Gennevilliers, soleil couchant",1874,54 × 73,частная коллекция,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w338.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Petit-Gennevilliers%2C_soleil_couchant.jpg,https://www.wikidata.org/wiki/Q124172714,https://monet.1vasiliadi.com/#w338
339,Регата в Аржантёе,Regatta at Argenteuil,Régate à Argenteuil,1874,60 × 100,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w339.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_047.jpg,https://www.wikidata.org/wiki/Q3828534,https://monet.1vasiliadi.com/#w339
340,Регата в Аржантёе,Regatta at Argenteuil,Régates à Argenteuil,1874,59 × 99,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w340.webp,https://commons.wikimedia.org/wiki/File:Monet_w340.jpg,,https://monet.1vasiliadi.com/#w340
341,Лето,Meadow at Bezons,L'Été,1874,57 × 80,музей,"Старая национальная галерея, Берлин","Alte Nationalgalerie, Berlin",Германия,Germany,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w341.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Summer_-_1874_8914.jpg,https://www.wikidata.org/wiki/Q18683955,https://monet.1vasiliadi.com/#w341
341a,"В полях, лето (Аржантёй)","In the Fields, Summer (Argenteuil)","À travers Champs, l'été (Argenteuil)",1874,55 × 74,частная коллекция,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w341a.webp,https://commons.wikimedia.org/wiki/File:Monet%2C_Summer%2C_1874%2C_Alte_Nationalgalerie%2C_Berlin_(2)_(39281569675).jpg,,https://monet.1vasiliadi.com/#w341a
342,"Мане, пишущий в саду Моне в Аржантёе",Manet painting in Monet's Garden in Argenteuil,Manet peint le jardin de Monet à Argenteuil.,1874,,частная коллекция,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w342.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Manet_malt_im_Garten_Monets_in_Argenteuil.jpg,https://www.wikidata.org/wiki/Q50769758,https://monet.1vasiliadi.com/#w342
343,"Женщина, сидящая на скамье",Woman sitting on a bench,Femme assise sur un banc,1874,73.5 × 56,музей,"Лондонская национальная галерея, Лондон","National Gallery, London",Великобритания,United Kingdom,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w343.webp,https://commons.wikimedia.org/wiki/File:Femme_assise_sur_un_banc.jpg,https://www.wikidata.org/wiki/Q10333082,https://monet.1vasiliadi.com/#w343
344,Главная улица в Аржантёе,The Main Street at Argenteuil,La Grande Rue à Argenteuil,1874,70 × 46,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w344.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_344.png,,https://monet.1vasiliadi.com/#w344
345,Аллея Ярмарочного поля в Аржантёе,The Allee du Champ de Foire at Argenteuil,L'Allée du champ de foire à Argenteuil,1874,50 × 61,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w345.webp,https://commons.wikimedia.org/wiki/File:Monet_w345.jpg,,https://monet.1vasiliadi.com/#w345
346,Бульвар в Аржантёе. Заход солнца,"The Promenade at Argenteuil, Soleil Couchant","La Promenade d'Argenteuil, soleil couchant",1874,60 × 81,частная коллекция,,,Япония,Japan,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w346.webp,https://commons.wikimedia.org/wiki/File:Monet_w346.jpg,,https://monet.1vasiliadi.com/#w346
347,Утиный пруд,The Duck Pond,Les Oies,1874,73.5 × 60,музей,"Институт искусств Кларка, Уильямстаун","Clark Art Institute, Williamstown",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w347.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_The_Duck_Pond.jpg,https://www.wikidata.org/wiki/Q50771164,https://monet.1vasiliadi.com/#w347
348,Снег в Аржантёе,Snow at Argenteuil,Neige à Argenteuil,1874,57 × 74,музей,"Музей изящных искусств, Бостон","Museum of Fine Arts, Boston",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w348.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Snow_at_Argenteuil%2C_about_1874.jpg,https://www.wikidata.org/wiki/Q20538941,https://monet.1vasiliadi.com/#w348
349,Снег в Аржантёе,Snow at Argenteuil,Neige à Argenteuil,1874,50.5 × 65,музей,"Художественный музей Нельсона-Аткинса, Канзас-Сити","Nelson-Atkins Museum of Art, Kansas City",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w349.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Neige_%C3%A0_Argenteuil_(1874-75).jpg,https://www.wikidata.org/wiki/Q64577786,https://monet.1vasiliadi.com/#w349
